name,niche,subdomain,cost_min,cost_max,shipping_min,shipping_max,retail_min,retail_max,margin_est,priority,aliexpress_search_url,content_angle,status,inventory
13-Piece Makeup Brush Set,Beauty,beauty,4.9,4.9,2.99,2.99,17.99,17.99,$10.10 est.,10,https://www.aliexpress.us/item/3256811770072335.html,Soft full-face brush set for foundation contour blush highlight and eyeshadow,Active,180
Extra Large Plush Dog Bed,Pets,pets,36.9,36.9,0,0,52.99,52.99,$30.17 est.,11,https://www.aliexpress.us/item/3256811658856601.html,Oversized plush bed mat for large dogs crates kennels and cozy living-room naps,Active,80
Spin Carpet Cat Scratching Post,Pets,pets,12.16,12.16,0,0,23.99,23.99,$11.83 est.,12,https://www.aliexpress.us/item/3256805622822820.html,Wooden climbing frame with sisal scratching and a rotating play ball,Active,120
Dog Training Waist Treat Bag,Pets,pets,6.61,6.61,0,0,13.78,13.78,$7.12 est.,13,https://www.aliexpress.us/item/3256807361435225.html,Hands-free treat pouch for walks outdoor training and quick rewards,Active,220
Pet Hair Shedding Comb,Pets,pets,8.06,8.06,0,0,14.99,14.99,$6.93 est.,14,https://www.aliexpress.us/item/3256811756959518.html,Detangling grooming brush for loose fur undercoat knots and mats,Active,190
Cotton Rope Cat Hammock,Pets,pets,30.83,30.83,0,0,55.87,55.87,$25.04 est.,15,https://www.aliexpress.us/item/3256811371082916.html,Hand-woven hanging cat hammock for elevated lounging in multi-cat homes,Active,75
Mini Percussion Massage Gun,Fitness,fitness,41.02,41.02,0,0,60.89,60.89,$19.87 est.,4,https://www.aliexpress.us/item/3256811844401796.html,Portable handheld massage gun for back neck shoulder leg and post-workout recovery,Active,95
Mouth Tape Sleep Strips,Fitness,fitness,2.57,7.25,4.36,4.36,22.99,32.87,$20.42-$25.62 est.,5,https://www.aliexpress.us/item/3256812145970867.html,Travel-friendly sleep strips that support gentle nasal-breathing routines,Active,260
Resistance Bands With Handles,Fitness,fitness,5.64,5.64,2.99,2.99,25.6,25.6,$18.97 est.,6,https://www.aliexpress.us/item/3256811825124429.html,Handled workout bands for at-home strength training and compact travel workouts,Active,210
48-Piece Food Storage Containers,Home,home,18.28,18.28,0,0,35,35,$16.73 est.,4,https://www.aliexpress.us/item/3256810417338983.html,Kitchen container set for pantry prep leftovers and cleaner food storage,Active,140
