name,niche,subdomain,cost_min,cost_max,shipping_min,shipping_max,retail_min,retail_max,margin_est,priority,aliexpress_search_url,content_angle
LED Face Mask,Beauty,beauty,18,35,6,12,79,149,60-75%,1,https://www.aliexpress.us/w/wholesale-led-face-mask.html,Luxury spa results at home
Heatless Curlers,Beauty,beauty,2,6,2,5,19,39,75-85%,2,https://www.aliexpress.us/w/wholesale-heatless-curling-rod.html,Salon curls without heat damage
Ice Roller,Beauty,beauty,3,7,3,6,24,39,70-80%,3,https://www.aliexpress.us/w/wholesale-ice-roller-face.html,Depuff your face in 30 seconds
Scalp Massager,Beauty,beauty,1.5,5,2,5,19,34,75-85%,4,https://www.aliexpress.us/w/wholesale-scalp-massager.html,Hair growth and scalp care
Facial Cleansing Brush,Beauty,beauty,4,12,3,7,29,59,65-80%,5,https://www.aliexpress.us/w/wholesale-facial-cleansing-brush.html,Deep clean skincare routine
Satin Hair Wrap,Beauty,beauty,1,4,2,4,18,29,80-90%,6,https://www.aliexpress.us/w/wholesale-satin-hair-wrap.html,Protect hair while sleeping
LED Neck Mask,Beauty,beauty,15,30,6,10,69,129,60-70%,7,https://www.aliexpress.us/w/wholesale-led-neck-mask.html,Anti-aging neck care
Blackhead Vacuum,Beauty,beauty,7,15,4,7,34,69,60-75%,8,https://www.aliexpress.us/w/wholesale-blackhead-remover-vacuum.html,Satisfying pore cleaning demo
Eye Patches,Beauty,beauty,2,6,2,5,19,39,70-85%,9,https://www.aliexpress.us/w/wholesale-eye-patches.html,Morning glow-up routine
13-Piece Makeup Brush Set,Beauty,beauty,4.9,4.9,2.99,2.99,17.99,17.99,$10.10 est.,10,https://www.aliexpress.us/item/3256811770072335.html,Soft full-face brush set for foundation contour blush highlight and eyeshadow
Dog Water Bottle,Pets,pets,3,8,3,6,19,39,70-85%,1,https://www.aliexpress.us/w/wholesale-dog-water-bottle.html,Every dog owner needs this
Calming Dog Bed,Pets,pets,12,25,8,20,49,99,55-70%,2,https://www.aliexpress.us/w/wholesale-calming-dog-bed.html,Help anxious pets relax
